X,NACA 4412-Re=   1e+07-Alpha= 8.00-NCrit=  9.0-XTrTop=0.035-XtrBot=1.000, , 
            1,     0.1788488, , 
    0.9974774,     0.1743091, , 
    0.9929085,     0.1652758, , 
    0.9870521,     0.1529153, , 
    0.9801884,      0.137413, , 
    0.9724844,     0.1189317, , 
    0.9640559,    0.09767747, , 
    0.9549902,    0.07394174, , 
    0.9453566,    0.04809498, , 
    0.9352124,     0.0205593, , 
    0.9246063,  -0.008229618, , 
    0.9135802,   -0.03785994, , 
    0.9021712,    -0.0679725, , 
    0.8904123,   -0.09827673, , 
    0.8783331,    -0.1285543, , 
    0.8659609,    -0.1586534, , 
    0.8533205,    -0.1884784, , 
    0.8404347,    -0.2179774, , 
     0.827325,    -0.2471303, , 
    0.8140113,      -0.27594, , 
    0.8005122,     -0.304424, , 
    0.7868454,    -0.3326094, , 
    0.7730275,    -0.3605289, , 
    0.7590742,    -0.3882182, , 
    0.7450005,    -0.4157143, , 
    0.7308209,    -0.4430546, , 
    0.7165489,    -0.4702763, , 
    0.7021977,    -0.4974158, , 
    0.6877799,    -0.5245089, , 
    0.6733075,     -0.551591, , 
    0.6587922,    -0.5786967, , 
    0.6442453,    -0.6058605, , 
    0.6296777,    -0.6331169, , 
    0.6150998,    -0.6605009, , 
    0.6005219,    -0.6880483, , 
    0.5859539,    -0.7157963, , 
    0.5714054,    -0.7437848, , 
    0.5568856,    -0.7720565, , 
    0.5424038,    -0.8006591, , 
    0.5279688,    -0.8296468, , 
    0.5135891,    -0.8590829, , 
    0.4992733,    -0.8890438, , 
    0.4850295,    -0.9196252, , 
    0.4708659,    -0.9509517, , 
    0.4567901,    -0.9831955, , 
      0.44281,     -1.016602, , 
    0.4289331,     -1.051615, , 
    0.4151667,     -1.088745, , 
    0.4015181,     -1.131458, , 
    0.3879944,      -1.17687, , 
    0.3746025,     -1.215305, , 
    0.3613493,     -1.251557, , 
    0.3482415,      -1.28594, , 
    0.3352856,     -1.318912, , 
    0.3224882,     -1.350686, , 
    0.3098556,     -1.381418, , 
    0.2973941,     -1.411216, , 
    0.2851099,     -1.440167, , 
     0.273009,     -1.468344, , 
    0.2610975,     -1.495814, , 
    0.2493812,     -1.522642, , 
     0.237866,      -1.54889, , 
    0.2265575,     -1.574625, , 
    0.2154615,     -1.599916, , 
    0.2045835,      -1.62484, , 
     0.193929,      -1.64948, , 
    0.1835034,     -1.673926, , 
    0.1733122,      -1.69828, , 
    0.1633605,     -1.722652, , 
    0.1536536,     -1.747166, , 
    0.1441967,     -1.771959, , 
    0.1349949,     -1.797182, , 
    0.1260533,     -1.823004, , 
    0.1173767,     -1.849611, , 
    0.1089702,     -1.877206, , 
    0.1008386,     -1.906016, , 
   0.09298667,     -1.936283, , 
    0.0854193,     -1.968265, , 
   0.07814115,     -2.002216, , 
    0.0711569,      -2.03835, , 
   0.06447116,     -2.076732, , 
   0.05808853,     -2.117036, , 
   0.05201352,     -2.158157, , 
   0.04625063,     -2.199729, , 
   0.04080431,     -2.247955, , 
   0.03567895,     -2.369064, , 
   0.03087892,     -2.427499, , 
   0.02640854,     -2.496351, , 
   0.02227211,     -2.574702, , 
   0.01847385,     -2.659947, , 
   0.01501799,     -2.750339, , 
