Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
 476,   1.329e-01,  -3.032e+00,   2.215e-02,      -0.134,       0.000,       0.991,   4.348e-03,      2.0223
 477,   1.224e-01,  -3.032e+00,   2.073e-02,      -0.139,       0.000,       0.990,   4.199e-03,      2.0817
 478,   1.123e-01,  -3.032e+00,   1.930e-02,      -0.144,       0.000,       0.990,   4.045e-03,      2.1477
 479,   1.026e-01,  -3.032e+00,   1.787e-02,      -0.148,       0.000,       0.989,   3.887e-03,      2.2210
 480,   9.323e-02,  -3.032e+00,   1.647e-02,      -0.153,       0.000,       0.988,   3.725e-03,      2.3029
 481,   8.430e-02,  -3.032e+00,   1.508e-02,      -0.157,      -0.000,       0.988,   3.559e-03,      2.3947
 482,   7.578e-02,  -3.032e+00,   1.372e-02,      -0.161,      -0.000,       0.987,   3.390e-03,      2.4962
 483,   6.768e-02,  -3.032e+00,   1.239e-02,      -0.165,       0.000,       0.986,   3.216e-03,      2.6122
 484,   6.001e-02,  -3.032e+00,   1.110e-02,      -0.168,       0.000,       0.986,   3.040e-03,      2.7450
 485,   5.277e-02,  -3.032e+00,   9.853e-03,      -0.172,       0.000,       0.985,   2.859e-03,      2.8980
 486,   4.597e-02,  -3.032e+00,   8.663e-03,      -0.175,      -0.000,       0.985,   2.676e-03,      3.0762
 487,   3.962e-02,  -3.032e+00,   7.529e-03,      -0.178,      -0.000,       0.984,   2.490e-03,      3.2841
 488,   3.372e-02,  -3.032e+00,   6.458e-03,      -0.181,      -0.000,       0.984,   2.301e-03,      3.5308
 489,   2.829e-02,  -3.032e+00,   5.455e-03,      -0.183,       0.000,       0.983,   2.110e-03,      3.8279
 490,   2.332e-02,  -3.032e+00,   4.525e-03,      -0.186,      -0.000,       0.983,   1.916e-03,      4.1912
 491,   1.882e-02,  -3.032e+00,   3.673e-03,      -0.188,      -0.000,       0.982,   1.720e-03,      4.6440
 492,   1.479e-02,  -3.032e+00,   2.903e-03,      -0.189,       0.000,       0.982,   1.522e-03,      5.2224
 493,   1.125e-02,  -3.032e+00,   2.217e-03,      -0.191,       0.000,       0.982,   1.323e-03,      5.9834
 494,   8.181e-03,  -3.032e+00,   1.619e-03,      -0.193,       0.000,       0.981,   1.122e-03,      7.0271
 495,   5.603e-03,  -3.032e+00,   1.112e-03,      -0.194,       0.000,       0.981,   9.196e-04,      8.5415
 496,   3.512e-03,  -3.032e+00,   6.990e-04,      -0.195,       0.000,       0.981,   7.163e-04,     10.9258
 497,   1.911e-03,  -3.032e+00,   3.811e-04,      -0.195,       0.000,       0.981,   5.122e-04,     15.2049
 498,   8.017e-04,  -3.032e+00,   1.601e-04,      -0.196,       0.000,       0.981,   3.076e-04,     24.9819
 499,   1.850e-04,  -3.032e+00,   3.695e-05,      -0.196,       0.000,       0.981,   1.026e-04,     59.9108
Strip 6
 500,   9.999e-01,  -2.590e+00,   8.207e-06,       0.132,       0.000,       0.991,   1.188e-04,      0.0264
 501,   9.996e-01,  -2.590e+00,   5.744e-05,       0.132,       0.000,       0.991,   3.563e-04,      0.0465
 502,   9.987e-01,  -2.590e+00,   1.722e-04,       0.132,       0.000,       0.991,   5.934e-04,      0.0695
 503,   9.974e-01,  -2.590e+00,   3.522e-04,       0.131,       0.000,       0.991,   8.299e-04,      0.0912
 504,   9.955e-01,  -2.590e+00,   5.966e-04,       0.131,       0.000,       0.991,   1.066e-03,      0.1146
 505,   9.932e-01,  -2.590e+00,   9.050e-04,       0.130,       0.000,       0.991,   1.300e-03,      0.1364
 506,   9.903e-01,  -2.590e+00,   1.276e-03,       0.130,       0.000,       0.992,   1.533e-03,      0.1600
 507,   9.870e-01,  -2.590e+00,   1.708e-03,       0.129,       0.000,       0.992,   1.765e-03,      0.1813
 508,   9.833e-01,  -2.590e+00,   2.200e-03,       0.129,       0.000,       0.992,   1.995e-03,      0.2057
 509,   9.790e-01,  -2.590e+00,   2.751e-03,       0.127,       0.000,       0.992,   2.222e-03,      0.2267
 510,   9.743e-01,  -2.590e+00,   3.357e-03,       0.126,       0.000,       0.992,   2.448e-03,      0.2496
 511,   9.691e-01,  -2.590e+00,   4.018e-03,       0.125,       0.000,       0.992,   2.671e-03,      0.2731
 512,   9.634e-01,  -2.590e+00,   4.731e-03,       0.124,       0.000,       0.992,   2.891e-03,      0.2942
 513,   9.573e-01,  -2.590e+00,   5.492e-03,       0.123,      -0.000,       0.992,   3.109e-03,      0.3169
 514,   9.507e-01,  -2.590e+00,   6.302e-03,       0.121,       0.000,       0.993,   3.323e-03,      0.3407
 515,   9.437e-01,  -2.590e+00,   7.156e-03,       0.119,       0.000,       0.993,   3.533e-03,      0.3618
 516,   9.362e-01,  -2.590e+00,   8.050e-03,       0.118,       0.000,       0.993,   3.740e-03,      0.3839
 517,   9.283e-01,  -2.590e+00,   8.982e-03,       0.116,       0.000,       0.993,   3.944e-03,      0.4066
 518,   9.200e-01,  -2.590e+00,   9.951e-03,       0.115,       0.000,       0.993,   4.143e-03,      0.4300
 519,   9.113e-01,  -2.590e+00,   1.095e-02,       0.112,       0.000,       0.994,   4.338e-03,      0.4514
 520,   9.022e-01,  -2.590e+00,   1.198e-02,       0.110,       0.000,       0.994,   4.529e-03,      0.4732
 521,   8.926e-01,  -2.590e+00,   1.303e-02,       0.108,       0.000,       0.994,   4.715e-03,      0.4954
 522,   8.827e-01,  -2.590e+00,   1.410e-02,       0.106,       0.000,       0.994,   4.897e-03,      0.5178
 523,   8.724e-01,  -2.590e+00,   1.520e-02,       0.104,       0.000,       0.995,   5.073e-03,      0.5404
 524,   8.618e-01,  -2.590e+00,   1.631e-02,       0.102,       0.000,       0.995,   5.244e-03,      0.5631
 525,   8.507e-01,  -2.590e+00,   1.742e-02,       0.099,       0.000,       0.995,   5.410e-03,      0.5847
 526,   8.394e-01,  -2.590e+00,   1.855e-02,       0.096,       0.000,       0.995,   5.571e-03,      0.6066
 527,   8.277e-01,  -2.590e+00,   1.967e-02,       0.094,       0.000,       0.996,   5.726e-03,      0.6287
 528,   8.156e-01,  -2.590e+00,   2.080e-02,       0.091,       0.000,       0.996,   5.875e-03,      0.6508
 529,   8.033e-01,  -2.590e+00,   2.192e-02,       0.089,       0.000,       0.996,   6.019e-03,      0.6730
 530,   7.907e-01,  -2.590e+00,   2.303e-02,       0.086,      -0.000,       0.996,   6.156e-03,      0.6953
 531,   7.778e-01,  -2.590e+00,   2.414e-02,       0.083,      -0.000,       0.997,   6.288e-03,      0.7175
 532,   7.646e-01,  -2.590e+00,   2.522e-02,       0.080,       0.000,       0.997,   6.413e-03,      0.7398
 533,   7.511e-01,  -2.590e+00,   2.629e-02,       0.077,       0.000,       0.997,   6.531e-03,      0.7622
 534,   7.374e-01,  -2.590e+00,   2.734e-02,       0.074,       0.000,       0.997,   6.644e-03,      0.7846
 535,   7.235e-01,  -2.590e+00,   2.837e-02,       0.071,       0.000,       0.997,   6.749e-03,      0.8071
 536,   7.093e-01,  -2.590e+00,   2.936e-02,       0.068,       0.000,       0.998,   6.848e-03,      0.8297
 537,   6.949e-01,  -2.590e+00,   3.033e-02,       0.065,       0.000,       0.998,   6.941e-03,      0.8524
 538,   6.804e-01,  -2.590e+00,   3.126e-02,       0.061,       0.000,       0.998,   7.026e-03,      0.8752
 539,   6.657e-01,  -2.590e+00,   3.215e-02,       0.058,       0.000,       0.998,   7.105e-03,      0.8982
 540,   6.508e-01,  -2.590e+00,   3.300e-02,       0.055,       0.000,       0.998,   7.176e-03,      0.9214
 541,   6.357e-01,  -2.590e+00,   3.382e-02,       0.051,       0.000,       0.999,   7.241e-03,      0.9448
 542,   6.205e-01,  -2.590e+00,   3.459e-02,       0.048,       0.000,       0.999,   7.298e-03,      0.9684
 543,   6.052e-01,  -2.590e+00,   3.531e-02,       0.045,       0.000,       0.999,   7.348e-03,      0.9924
 544,   5.898e-01,  -2.590e+00,   3.599e-02,       0.041,       0.000,       0.999,   7.392e-03,      1.0167
 545,   5.743e-01,  -2.590e+00,   3.661e-02,       0.038,       0.000,       0.999,   7.427e-03,      1.0414
 546,   5.588e-01,  -2.590e+00,   3.719e-02,       0.034,       0.000,       0.999,   7.456e-03,      1.0666
 547,   5.431e-01,  -2.590e+00,   3.771e-02,       0.031,       0.000,       1.000,   7.477e-03,      1.0924
 548,   5.275e-01,  -2.590e+00,   3.819e-02,       0.028,       0.000,       1.000,   7.491e-03,      1.1189
 549,   5.118e-01,  -2.590e+00,   3.860e-02,       0.024,       0.000,       1.000,   7.498e-03,      1.1464
 550,   4.961e-01,  -2.590e+00,   3.897e-02,       0.020,       0.000,       1.000,   7.498e-03,      1.1744
 551,   4.804e-01,  -2.590e+00,   3.928e-02,       0.017,       0.000,       1.000,   7.490e-03,      1.2030
 552,   4.647e-01,  -2.590e+00,   3.953e-02,       0.013,       0.000,       1.000,   7.474e-03,      1.2331
 553,   4.490e-01,  -2.590e+00,   3.972e-02,       0.010,       0.000,       1.000,   7.452e-03,      1.2651
 554,   4.334e-01,  -2.590e+00,   3.987e-02,       0.007,       0.000,       1.000,   7.422e-03,      1.2996
 555,   4.179e-01,  -2.590e+00,   3.995e-02,       0.003,       0.000,       1.000,   7.385e-03,      1.3393
 556,   4.025e-01,  -2.590e+00,   3.999e-02,      -0.001,       0.000,       1.000,   7.341e-03,      1.3839
 557,   3.871e-01,  -2.590e+00,   3.994e-02,      -0.008,       0.000,       1.000,   7.290e-03,      1.4255
 558,   3.719e-01,  -2.590e+00,   3.979e-02,      -0.016,       0.000,       1.000,   7.232e-03,      1.4625
 559,   3.568e-01,  -2.590e+00,   3.952e-02,      -0.024,       0.000,       1.000,   7.167e-03,      1.4961
 560,   3.418e-01,  -2.590e+00,   3.913e-02,      -0.031,       0.000,       1.000,   7.096e-03,      1.5296
 561,   3.270e-01,  -2.590e+00,   3.865e-02,      -0.038,       0.000,       0.999,   7.018e-03,      1.5628
 562,   3.123e-01,  -2.590e+00,   3.806e-02,      -0.046,       0.000,       0.999,   6.933e-03,      1.5961
 563,   2.978e-01,  -2.590e+00,   3.737e-02,      -0.053,       0.000,       0.999,   6.842e-03,      1.6298
 564,   2.836e-01,  -2.590e+00,   3.660e-02,      -0.060,       0.000,       0.998,   6.744e-03,      1.6647
 565,   2.695e-01,  -2.590e+00,   3.573e-02,      -0.067,       0.000,       0.998,   6.640e-03,      1.6972
 566,   2.557e-01,  -2.590e+00,   3.478e-02,      -0.074,       0.000,       0.997,   6.530e-03,      1.7311
 567,   2.421e-01,  -2.590e+00,   3.375e-02,      -0.080,       0.000,       0.997,   6.413e-03,      1.7665
 568,   2.288e-01,  -2.590e+00,   3.266e-02,      -0.087,       0.000,       0.996,   6.290e-03,      1.8036
 569,   2.157e-01,  -2.590e+00,   3.150e-02,      -0.093,       0.000,       0.996,   6.160e-03,      1.8428
 570,   2.030e-01,  -2.590e+00,   3.028e-02,      -0.099,       0.000,       0.995,   6.025e-03,      1.8840
 571,   1.905e-01,  -2.590e+00,   2.902e-02,      -0.106,       0.000,       0.994,   5.884e-03,      1.9251
 572,   1.783e-01,  -2.590e+00,   2.770e-02,      -0.112,      -0.000,       0.994,   5.737e-03,      1.9698
 573,   1.664e-01,  -2.590e+00,   2.635e-02,      -0.117,       0.000,       0.993,   5.584e-03,      2.0179
 574,   1.549e-01,  -2.590e+00,   2.497e-02,      -0.123,       0.000,       0.992,   5.425e-03,      2.0700
 575,   1.437e-01,  -2.590e+00,   2.357e-02,      -0.128,       0.000,       0.992,   5.261e-03,      2.1272
 576,   1.329e-01,  -2.590e+00,   2.215e-02,      -0.134,       0.000,       0.991,   5.091e-03,      2.1873
 577,   1.224e-01,  -2.590e+00,   2.073e-02,      -0.139,       0.000,       0.990,   4.916e-03,      2.2529
 578,   1.123e-01,  -2.590e+00,   1.930e-02,      -0.144,       0.000,       0.990,   4.736e-03,      2.3257
 579,   1.026e-01,  -2.590e+00,   1.787e-02,      -0.148,       0.000,       0.989,   4.552e-03,      2.4064
 580,   9.323e-02,  -2.590e+00,   1.647e-02,      -0.153,       0.000,       0.988,   4.362e-03,      2.4967
 581,   8.430e-02,  -2.590e+00,   1.508e-02,      -0.157,       0.000,       0.988,   4.168e-03,      2.5976
 582,   7.578e-02,  -2.590e+00,   1.372e-02,      -0.161,       0.000,       0.987,   3.969e-03,      2.7094
 583,   6.768e-02,  -2.590e+00,   1.239e-02,      -0.165,       0.000,       0.986,   3.766e-03,      2.8370
 584,   6.001e-02,  -2.590e+00,   1.110e-02,      -0.168,       0.000,       0.986,   3.559e-03,      2.9829
 585,   5.277e-02,  -2.590e+00,   9.853e-03,      -0.172,       0.000,       0.985,   3.348e-03,      3.1510
 586,   4.597e-02,  -2.590e+00,   8.663e-03,      -0.175,       0.000,       0.985,   3.133e-03,      3.3465
 587,   3.962e-02,  -2.590e+00,   7.529e-03,      -0.178,       0.000,       0.984,   2.916e-03,      3.5745
 588,   3.372e-02,  -2.590e+00,   6.458e-03,      -0.181,       0.000,       0.984,   2.694e-03,      3.8450
 589,   2.829e-02,  -2.590e+00,   5.455e-03,      -0.183,       0.000,       0.983,   2.470e-03,      4.1705
 590,   2.332e-02,  -2.590e+00,   4.525e-03,      -0.186,       0.000,       0.983,   2.243e-03,      4.5684
 591,   1.882e-02,  -2.590e+00,   3.673e-03,      -0.188,       0.000,       0.982,   2.014e-03,      5.0641
 592,   1.479e-02,  -2.590e+00,   2.903e-03,      -0.189,       0.000,       0.982,   1.782e-03,      5.6969
 593,   1.125e-02,  -2.590e+00,   2.217e-03,      -0.191,       0.000,       0.982,   1.549e-03,      6.5291
 594,   8.181e-03,  -2.590e+00,   1.619e-03,      -0.193,       0.000,       0.981,   1.314e-03,      7.6702
 595,   5.603e-03,  -2.590e+00,   1.112e-03,      -0.194,       0.000,       0.981,   1.077e-03,      9.3256
 596,   3.512e-03,  -2.590e+00,   6.990e-04,      -0.195,       0.000,       0.981,   8.387e-04,     11.9310
 597,   1.911e-03,  -2.590e+00,   3.811e-04,      -0.195,       0.000,       0.981,   5.997e-04,     16.6061
 598,   8.017e-04,  -2.590e+00,   1.601e-04,      -0.196,       0.000,       0.981,   3.601e-04,     27.2866
 599,   1.850e-04,  -2.590e+00,   3.695e-05,      -0.196,       0.000,       0.981,   1.201e-04,     65.4405
Strip 7
 600,   9.999e-01,  -2.084e+00,   8.207e-06,       0.132,       0.000,       0.991,   1.332e-04,      0.0276
 601,   9.996e-01,  -2.084e+00,   5.744e-05,       0.132,       0.000,       0.991,   3.995e-04,      0.0486
 602,   9.987e-01,  -2.084e+00,   1.722e-04,       0.132,       0.000,       0.991,   6.654e-04,      0.0725
 603,   9.974e-01,  -2.084e+00,   3.522e-04,       0.131,       0.000,       0.991,   9.305e-04,      0.0951
 604,   9.955e-01,  -2.084e+00,   5.966e-04,       0.131,       0.000,       0.991,   1.195e-03,      0.1195
 605,   9.932e-01,  -2.084e+00,   9.050e-04,       0.130,       0.000,       0.991,   1.458e-03,      0.1423
 606,   9.903e-01,  -2.084e+00,   1.276e-03,       0.130,       0.000,       0.992,   1.719e-03,      0.1669
 607,   9.870e-01,  -2.084e+00,   1.708e-03,       0.129,       0.000,       0.992,   1.979e-03,      0.1892
 608,   9.833e-01,  -2.084e+00,   2.200e-03,       0.129,       0.000,       0.992,   2.237e-03,      0.2146
 609,   9.790e-01,  -2.084e+00,   2.751e-03,       0.127,       0.000,       0.992,   2.492e-03,      0.2366
 610,   9.743e-01,  -2.084e+00,   3.357e-03,       0.126,       0.000,       0.992,   2.745e-03,      0.2605
 611,   9.691e-01,  -2.084e+00,   4.018e-03,       0.125,       0.000,       0.992,   2.995e-03,      0.2850
 612,   9.634e-01,  -2.084e+00,   4.731e-03,       0.124,       0.000,       0.992,   3.242e-03,      0.3071
 613,   9.573e-01,  -2.084e+00,   5.492e-03,       0.123,       0.000,       0.992,   3.486e-03,      0.3308
 614,   9.507e-01,  -2.084e+00,   6.302e-03,       0.121,       0.000,       0.993,   3.726e-03,      0.3556
 615,   9.437e-01,  -2.084e+00,   7.156e-03,       0.119,       0.000,       0.993,   3.962e-03,      0.3778
 616,   9.362e-01,  -2.084e+00,   8.050e-03,       0.118,       0.000,       0.993,   4.194e-03,      0.4009
 617,   9.283e-01,  -2.084e+00,   8.982e-03,       0.116,       0.000,       0.993,   4.422e-03,      0.4247
 618,   9.200e-01,  -2.084e+00,   9.951e-03,       0.115,       0.000,       0.993,   4.646e-03,      0.4492
 619,   9.113e-01,  -2.084e+00,   1.095e-02,       0.112,       0.000,       0.994,   4.864e-03,      0.4716
 620,   9.022e-01,  -2.084e+00,   1.198e-02,       0.110,       0.000,       0.994,   5.078e-03,      0.4945
 621,   8.926e-01,  -2.084e+00,   1.303e-02,       0.108,       0.000,       0.994,   5.287e-03,      0.5178
 622,   8.827e-01,  -2.084e+00,   1.410e-02,       0.106,      -0.000,       0.994,   5.490e-03,      0.5412
 623,   8.724e-01,  -2.084e+00,   1.520e-02,       0.104,      -0.000,       0.995,   5.688e-03,      0.5650
 624,   8.618e-01,  -2.084e+00,   1.631e-02,       0.102,       0.000,       0.995,   5.880e-03,      0.5887
 625,   8.507e-01,  -2.084e+00,   1.742e-02,       0.099,       0.000,       0.995,   6.066e-03,      0.6114
 626,   8.394e-01,  -2.084e+00,   1.855e-02,       0.096,       0.000,       0.995,   6.247e-03,      0.6345
 627,   8.277e-01,  -2.084e+00,   1.967e-02,       0.094,       0.000,       0.996,   6.421e-03,      0.6576
 628,   8.156e-01,  -2.084e+00,   2.080e-02,       0.091,       0.000,       0.996,   6.588e-03,      0.6809
 629,   8.033e-01,  -2.084e+00,   2.192e-02,       0.089,       0.000,       0.996,   6.749e-03,      0.7042
 630,   7.907e-01,  -2.084e+00,   2.303e-02,       0.086,       0.000,       0.996,   6.903e-03,      0.7276
 631,   7.778e-01,  -2.084e+00,   2.414e-02,       0.083,       0.000,       0.997,   7.050e-03,      0.7510
 632,   7.646e-01,  -2.084e+00,   2.522e-02,       0.080,       0.000,       0.997,   7.191e-03,      0.7744
 633,   7.511e-01,  -2.084e+00,   2.629e-02,       0.077,      -0.000,       0.997,   7.324e-03,      0.7980
 634,   7.374e-01,  -2.084e+00,   2.734e-02,       0.074,       0.000,       0.997,   7.450e-03,      0.8215
 635,   7.235e-01,  -2.084e+00,   2.837e-02,       0.071,       0.000,       0.997,   7.568e-03,      0.8452
 636,   7.093e-01,  -2.084e+00,   2.936e-02,       0.068,       0.000,       0.998,   7.679e-03,      0.8690
 637,   6.949e-01,  -2.084e+00,   3.033e-02,       0.065,       0.000,       0.998,   7.783e-03,      0.8928
 638,   6.804e-01,  -2.084e+00,   3.126e-02,       0.061,       0.000,       0.998,   7.878e-03,      0.9169
 639,   6.657e-01,  -2.084e+00,   3.215e-02,       0.058,       0.000,       0.998,   7.966e-03,      0.9410
 640,   6.508e-01,  -2.084e+00,   3.300e-02,       0.055,       0.000,       0.998,   8.047e-03,      0.9654
 641,   6.357e-01,  -2.084e+00,   3.382e-02,       0.051,       0.000,       0.999,   8.119e-03,      0.9900
 642,   6.205e-01,  -2.084e+00,   3.459e-02,       0.048,       0.000,       0.999,   8.183e-03,      1.0149
 643,   6.052e-01,  -2.084e+00,   3.531e-02,       0.045,       0.000,       0.999,   8.240e-03,      1.0401
 644,   5.898e-01,  -2.084e+00,   3.599e-02,       0.041,       0.000,       0.999,   8.288e-03,      1.0656
 645,   5.743e-01,  -2.084e+00,   3.661e-02,       0.038,       0.000,       0.999,   8.328e-03,      1.0916
 646,   5.588e-01,  -2.084e+00,   3.719e-02,       0.034,       0.000,       0.999,   8.360e-03,      1.1181
 647,   5.431e-01,  -2.084e+00,   3.771e-02,       0.031,       0.000,       1.000,   8.384e-03,      1.1452
 648,   5.275e-01,  -2.084e+00,   3.819e-02,       0.028,       0.000,       1.000,   8.400e-03,      1.1729
 649,   5.118e-01,  -2.084e+00,   3.860e-02,       0.024,       0.000,       1.000,   8.408e-03,      1.2018
 650,   4.961e-01,  -2.084e+00,   3.897e-02,       0.020,       0.000,       1.000,   8.407e-03,      1.2311
 651,   4.804e-01,  -2.084e+00,   3.928e-02,       0.017,       0.000,       1.000,   8.398e-03,      1.2610
 652,   4.647e-01,  -2.084e+00,   3.953e-02,       0.013,       0.000,       1.000,   8.381e-03,      1.2925
 653,   4.490e-01,  -2.084e+00,   3.972e-02,       0.010,       0.000,       1.000,   8.356e-03,      1.3259
 654,   4.334e-01,  -2.084e+00,   3.987e-02,       0.007,       0.000,       1.000,   8.323e-03,      1.3618
 655,   4.179e-01,  -2.084e+00,   3.995e-02,       0.003,       0.000,       1.000,   8.281e-03,      1.4029
 656,   4.025e-01,  -2.084e+00,   3.999e-02,      -0.001,       0.000,       1.000,   8.232e-03,      1.4491
 657,   3.871e-01,  -2.084e+00,   3.994e-02,      -0.008,       0.000,       1.000,   8.174e-03,      1.4923
 658,   3.719e-01,  -2.084e+00,   3.979e-02,      -0.016,       0.000,       1.000,   8.109e-03,      1.5309
 659,   3.568e-01,  -2.084e+00,   3.952e-02,      -0.024,       0.000,       1.000,   8.037e-03,      1.5662
 660,   3.418e-01,  -2.084e+00,   3.913e-02,      -0.031,       0.000,       1.000,   7.957e-03,      1.6014
 661,   3.270e-01,  -2.084e+00,   3.865e-02,      -0.038,       0.000,       0.999,   7.869e-03,      1.6364
 662,   3.123e-01,  -2.084e+00,   3.806e-02,      -0.046,       0.000,       0.999,   7.774e-03,      1.6716
 663,   2.978e-01,  -2.084e+00,   3.737e-02,      -0.053,       0.000,       0.999,   7.672e-03,      1.7072
 664,   2.836e-01,  -2.084e+00,   3.660e-02,      -0.060,       0.000,       0.998,   7.562e-03,      1.7441
 665,   2.695e-01,  -2.084e+00,   3.573e-02,      -0.067,       0.000,       0.998,   7.446e-03,      1.7787
 666,   2.557e-01,  -2.084e+00,   3.478e-02,      -0.074,      -0.000,       0.997,   7.322e-03,      1.8148
 667,   2.421e-01,  -2.084e+00,   3.375e-02,      -0.080,      -0.000,       0.997,   7.191e-03,      1.8525
 668,   2.288e-01,  -2.084e+00,   3.266e-02,      -0.087,       0.000,       0.996,   7.053e-03,      1.8920
 669,   2.157e-01,  -2.084e+00,   3.150e-02,      -0.093,      -0.000,       0.996,   6.908e-03,      1.9338
 670,   2.030e-01,  -2.084e+00,   3.028e-02,      -0.099,      -0.000,       0.995,   6.756e-03,      1.9777
 671,   1.905e-01,  -2.084e+00,   2.902e-02,      -0.106,      -0.000,       0.994,   6.598e-03,      2.0217
 672,   1.783e-01,  -2.084e+00,   2.770e-02,      -0.112,      -0.000,       0.994,   6.432e-03,      2.0694
 673,   1.664e-01,  -2.084e+00,   2.635e-02,      -0.117,      -0.000,       0.993,   6.261e-03,      2.1209
 674,   1.549e-01,  -2.084e+00,   2.497e-02,      -0.123,       0.000,       0.992,   6.083e-03,      2.1765
 675,   1.437e-01,  -2.084e+00,   2.357e-02,      -0.128,       0.000,       0.992,   5.899e-03,      2.2375
 676,   1.329e-01,  -2.084e+00,   2.215e-02,      -0.134,       0.000,       0.991,   5.709e-03,      2.3018
 677,   1.224e-01,  -2.084e+00,   2.073e-02,      -0.139,       0.000,       0.990,   5.513e-03,      2.3719
 678,   1.123e-01,  -2.084e+00,   1.930e-02,      -0.144,       0.000,       0.990,   5.311e-03,      2.4497
 679,   1.026e-01,  -2.084e+00,   1.787e-02,      -0.148,       0.000,       0.989,   5.104e-03,      2.5359
 680,   9.323e-02,  -2.084e+00,   1.647e-02,      -0.153,       0.000,       0.988,   4.891e-03,      2.6322
 681,   8.430e-02,  -2.084e+00,   1.508e-02,      -0.157,       0.000,       0.988,   4.673e-03,      2.7398
 682,   7.578e-02,  -2.084e+00,   1.372e-02,      -0.161,       0.000,       0.987,   4.450e-03,      2.8590
 683,   6.768e-02,  -2.084e+00,   1.239e-02,      -0.165,       0.000,       0.986,   4.223e-03,      2.9950
 684,   6.001e-02,  -2.084e+00,   1.110e-02,      -0.168,       0.000,       0.986,   3.991e-03,      3.1504
 685,   5.277e-02,  -2.084e+00,   9.853e-03,      -0.172,       0.000,       0.985,   3.754e-03,      3.3293
 686,   4.597e-02,  -2.084e+00,   8.663e-03,      -0.175,       0.000,       0.985,   3.513e-03,      3.5373
 687,   3.962e-02,  -2.084e+00,   7.529e-03,      -0.178,      -0.000,       0.984,   3.269e-03,      3.7798
 688,   3.372e-02,  -2.084e+00,   6.458e-03,      -0.181,      -0.000,       0.984,   3.021e-03,      4.0674
 689,   2.829e-02,  -2.084e+00,   5.455e-03,      -0.183,       0.000,       0.983,   2.770e-03,      4.4134
 690,   2.332e-02,  -2.084e+00,   4.525e-03,      -0.186,       0.000,       0.983,   2.515e-03,      4.8360
 691,   1.882e-02,  -2.084e+00,   3.673e-03,      -0.188,       0.000,       0.982,   2.258e-03,      5.3624
 692,   1.479e-02,  -2.084e+00,   2.903e-03,      -0.189,       0.000,       0.982,   1.999e-03,      6.0341
 693,   1.125e-02,  -2.084e+00,   2.217e-03,      -0.191,       0.000,       0.982,   1.737e-03,      6.9174
 694,   8.181e-03,  -2.084e+00,   1.619e-03,      -0.193,       0.000,       0.981,   1.473e-03,      8.1281
 695,   5.603e-03,  -2.084e+00,   1.112e-03,      -0.194,       0.000,       0.981,   1.207e-03,      9.8840
 696,   3.512e-03,  -2.084e+00,   6.990e-04,      -0.195,       0.000,       0.981,   9.404e-04,     12.6472
 697,   1.911e-03,  -2.084e+00,   3.811e-04,      -0.195,       0.000,       0.981,   6.725e-04,     17.6049
 698,   8.017e-04,  -2.084e+00,   1.601e-04,      -0.196,       0.000,       0.981,   4.038e-04,     28.9297
 699,   1.850e-04,  -2.084e+00,   3.695e-05,      -0.196,       0.000,       0.981,   1.346e-04,     69.3828
Strip 8
 700,   9.999e-01,  -1.526e+00,   8.207e-06,       0.132,      -0.000,       0.991,   1.443e-04,      0.0283
 701,   9.996e-01,  -1.526e+00,   5.744e-05,       0.132,      -0.000,       0.991,   4.329e-04,      0.0499
 702,   9.987e-01,  -1.526e+00,   1.722e-04,       0.132,       0.000,       0.991,   7.209e-04,      0.0744
 703,   9.974e-01,  -1.526e+00,   3.522e-04,       0.131,       0.000,       0.991,   1.008e-03,      0.0976
 704,   9.955e-01,  -1.526e+00,   5.966e-04,       0.131,       0.000,       0.991,   1.295e-03,      0.1227
 705,   9.932e-01,  -1.526e+00,   9.050e-04,       0.130,       0.000,       0.991,   1.580e-03,      0.1461
 706,   9.903e-01,  -1.526e+00,   1.276e-03,       0.130,      -0.000,       0.992,   1.863e-03,      0.1713
 707,   9.870e-01,  -1.526e+00,   1.708e-03,       0.129,      -0.000,       0.992,   2.144e-03,      0.1943
 708,   9.833e-01,  -1.526e+00,   2.200e-03,       0.129,      -0.000,       0.992,   2.424e-03,      0.2203
 709,   9.790e-01,  -1.526e+00,   2.751e-03,       0.127,       0.000,       0.992,   2.700e-03,      0.2429
 710,   9.743e-01,  -1.526e+00,   3.357e-03,       0.126,       0.000,       0.992,   2.974e-03,      0.2674
 711,   9.691e-01,  -1.526e+00,   4.018e-03,       0.125,       0.000,       0.992,   3.245e-03,      0.2926
 712,   9.634e-01,  -1.526e+00,   4.731e-03,       0.124,      -0.000,       0.992,   3.513e-03,      0.3154
 713,   9.573e-01,  -1.526e+00,   5.492e-03,       0.123,      -0.000,       0.992,   3.777e-03,      0.3397
 714,   9.507e-01,  -1.526e+00,   6.302e-03,       0.121,       0.000,       0.993,   4.037e-03,      0.3652
 715,   9.437e-01,  -1.526e+00,   7.156e-03,       0.119,       0.000,       0.993,   4.293e-03,      0.3880
 716,   9.362e-01,  -1.526e+00,   8.050e-03,       0.118,       0.000,       0.993,   4.545e-03,      0.4118
