Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  31,   7.778e-01,  -3.975e+00,   2.414e-02,       0.083,       0.000,       0.997,   6.488e-04,      0.2262
  32,   7.646e-01,  -3.975e+00,   2.522e-02,       0.080,       0.000,       0.997,   6.617e-04,      0.2253
  33,   7.511e-01,  -3.975e+00,   2.629e-02,       0.077,       0.000,       0.997,   6.739e-04,      0.2246
  34,   7.374e-01,  -3.975e+00,   2.734e-02,       0.074,       0.000,       0.997,   6.855e-04,      0.2244
  35,   7.235e-01,  -3.975e+00,   2.837e-02,       0.071,       0.000,       0.997,   6.964e-04,      0.2245
  36,   7.093e-01,  -3.975e+00,   2.936e-02,       0.068,       0.000,       0.998,   7.066e-04,      0.2252
  37,   6.949e-01,  -3.975e+00,   3.033e-02,       0.065,       0.000,       0.998,   7.161e-04,      0.2264
  38,   6.804e-01,  -3.975e+00,   3.126e-02,       0.061,       0.000,       0.998,   7.250e-04,      0.2282
  39,   6.657e-01,  -3.975e+00,   3.215e-02,       0.058,       0.000,       0.998,   7.331e-04,      0.2307
  40,   6.508e-01,  -3.975e+00,   3.300e-02,       0.055,       0.000,       0.998,   7.404e-04,      0.2338
  41,   6.357e-01,  -3.975e+00,   3.382e-02,       0.051,       0.000,       0.999,   7.471e-04,      0.2378
  42,   6.205e-01,  -3.975e+00,   3.459e-02,       0.048,       0.000,       0.999,   7.530e-04,      0.2425
  43,   6.052e-01,  -3.975e+00,   3.531e-02,       0.045,       0.000,       0.999,   7.582e-04,      0.2480
  44,   5.898e-01,  -3.975e+00,   3.599e-02,       0.041,       0.000,       0.999,   7.627e-04,      0.2542
  45,   5.743e-01,  -3.975e+00,   3.661e-02,       0.038,       0.000,       0.999,   7.664e-04,      0.2613
  46,   5.588e-01,  -3.975e+00,   3.719e-02,       0.034,       0.000,       0.999,   7.693e-04,      0.2690
  47,   5.431e-01,  -3.975e+00,   3.771e-02,       0.031,       0.000,       1.000,   7.715e-04,      0.2776
  48,   5.275e-01,  -3.975e+00,   3.819e-02,       0.028,       0.000,       1.000,   7.730e-04,      0.2870
  49,   5.118e-01,  -3.975e+00,   3.860e-02,       0.024,       0.000,       1.000,   7.737e-04,      0.2975
  50,   4.961e-01,  -3.975e+00,   3.897e-02,       0.020,       0.000,       1.000,   7.736e-04,      0.3084
  51,   4.804e-01,  -3.975e+00,   3.928e-02,       0.017,       0.000,       1.000,   7.728e-04,      0.3197
  52,   4.647e-01,  -3.975e+00,   3.953e-02,       0.013,       0.000,       1.000,   7.712e-04,      0.3323
  53,   4.490e-01,  -3.975e+00,   3.972e-02,       0.010,       0.000,       1.000,   7.689e-04,      0.3464
  54,   4.334e-01,  -3.975e+00,   3.987e-02,       0.007,       0.000,       1.000,   7.658e-04,      0.3629
  55,   4.179e-01,  -3.975e+00,   3.995e-02,       0.003,       0.000,       1.000,   7.620e-04,      0.3845
  56,   4.025e-01,  -3.975e+00,   3.999e-02,      -0.001,       0.000,       1.000,   7.575e-04,      0.4113
  57,   3.871e-01,  -3.975e+00,   3.994e-02,      -0.008,       0.000,       1.000,   7.522e-04,      0.4354
  58,   3.719e-01,  -3.975e+00,   3.979e-02,      -0.016,       0.000,       1.000,   7.462e-04,      0.4555
  59,   3.568e-01,  -3.975e+00,   3.952e-02,      -0.024,       0.000,       1.000,   7.395e-04,      0.4724
  60,   3.418e-01,  -3.975e+00,   3.913e-02,      -0.031,       0.000,       1.000,   7.322e-04,      0.4891
  61,   3.270e-01,  -3.975e+00,   3.865e-02,      -0.038,       0.000,       0.999,   7.241e-04,      0.5051
