X,c_p_1,c_p_8,c_p_14
0.1349949,-0.05433387,0.4814494,0.773389
0.1441967,-0.04535635,0.4696055,0.7559002
0.1536536,-0.03640688,0.4588387,0.7392321
0.1633605,-0.02754661,0.4490445,0.7233687
0.1733122,-0.01884803,0.4401269,0.7082842
0.1835034,-0.01042153,0.4319969,0.6939457
0.193929,-0.002486867,0.4245721,0.6803151
0.2045835,0.00421893,0.4177759,0.6673512
0.2154615,0.009625066,0.4115366,0.6550104
0.2265575,0.03450533,0.4057871,0.6432478
0.237866,0.0413182,0.4004635,0.6320173
0.2493812,0.04609585,0.3955051,0.621272
0.2610975,0.05122552,0.3908532,0.6109644
0.273009,0.05683674,0.3864507,0.601046
0.2851099,0.06258275,0.3822406,0.5914671
0.2973941,0.06821242,0.3781655,0.5821763
0.3098556,0.07357143,0.3741655,0.5731192
0.3224882,0.07854997,0.370176,0.5642368
0.3352856,0.0830532,0.3661241,0.5554631
0.3482415,0.08697871,0.3619216,0.5467192
0.3613493,0.09020073,0.357457,0.5379075
0.3746025,0.09247769,0.3525342,0.5288632
0.3879944,0.09364933,0.3469938,0.5194538
0.4015181,0.09108377,0.3390038,0.5081794
0.4151667,0.08936204,0.3315321,0.497333
0.4289331,0.09007651,0.3258787,0.4879613
0.44281,0.09150548,0.3209487,0.4792041
0.4567901,0.09345371,0.316574,0.4709278
0.4708659,0.09572477,0.3125983,0.463011
0.4850295,0.09821241,0.3089313,0.4553838
0.4992733,0.1008413,0.305507,0.4479949
0.5135891,0.1035571,0.3022762,0.4408041
0.5279688,0.1063189,0.2991996,0.4337783
0.5424038,0.1090947,0.2962455,0.4268888
0.5568856,0.1118595,0.2933871,0.4201102
0.5714054,0.1145934,0.2906013,0.4134191
0.5859539,0.1172805,0.2878685,0.4067944
0.6005219,0.1199082,0.2851714,0.4002161
0.6150998,0.122467,0.2824948,0.3936656
0.6296777,0.1249496,0.2798257,0.3871256
0.6442453,0.1273511,0.2771523,0.3805793
0.6587922,0.1296684,0.2744649,0.3740113
0.6733075,0.1319006,0.2717549,0.3674064
0.6877799,0.1340481,0.2690152,0.3607504
0.7021977,0.1361136,0.2662401,0.3540296
0.7165489,0.1381011,0.263425,0.3472308
0.7308209,0.1400165,0.2605668,0.3403411
0.7450005,0.1418673,0.2576635,0.3333481
0.7590742,0.1436631,0.2547145,0.3262394
0.7730275,0.1454152,0.2517205,0.3190027
0.7868454,0.1471368,0.2486834,0.3116257
0.8005122,0.1488435,0.2456065,0.3040958
0.8140113,0.1505531,0.2424946,0.2963999
0.827325,0.1522863,0.2393537,0.2885243
0.8404347,0.1540665,0.2361917,0.2804542
0.8533205,0.1559207,0.2330181,0.2721733
0.8659609,0.1578796,0.2298442,0.2636638
0.8783331,0.1599787,0.2266833,0.2549052
0.8904123,0.162259,0.2235513,0.2458738
0.9021712,0.164768,0.2204667,0.2365423
0.9135802,0.167561,0.2174513,0.2268783
0.9246063,0.1707031,0.2145312,0.2168448
0.9352124,0.1742709,0.2117376,0.2063999
0.9453566,0.1783543,0.2091084,0.1954885
0.9549902,0.1830583,0.2066909,0.1840441
0.9640559,0.1884999,0.2045439,0.1719983
0.9724844,0.1948001,0.2027437,0.1592878
0.9801884,0.2020366,0.2013676,0.1458416
0.9870521,0.2102073,0.2005563,0.1318149
0.9929085,0.2185608,0.1998289,0.1164575
0.9974774,0.2268676,0.2002174,0.104297
1,0.2195599,0.1788488,0.04051915
,0.9996765,0.9997053,0.9994153
