xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,   8.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.976859
Cy    = ,  -0.000000
Cd=,   0.038759,ICd=,    0.038759,PCd=,    0.000000
Cl   = ,7.43526e-17
Cm   =,   -0.341853
ICn=,    0.000000,PCn=,    0.000000
XCP=,    0.349805, YCP=,    0.000000, ZCP=,    0.025511 
XNP=,    0.000000
Bending =, 89228.047653

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -1.2955,   1.0000, -1.780, 1.084400, 0.000000, 0.033738,-0.375980,-0.104880, 0.0000, 0.0000, 0.3432,38720.7255
   -1.1760,   1.0000, -1.751, 1.088602, 0.000000, 0.033309,-0.377185,-0.105034, 0.0000, 0.0000, 0.3429,42660.1353
   -1.0554,   1.0000, -1.725, 1.092320, 0.000000, 0.032924,-0.378249,-0.105169, 0.0000, 0.0000, 0.3427,46844.6753
   -0.9337,   1.0000, -1.702, 1.095575, 0.000000, 0.032582,-0.379178,-0.105285, 0.0000, 0.0000, 0.3426,51276.6238
   -0.8110,   1.0000, -1.682, 1.098385, 0.000000, 0.032283,-0.379980,-0.105384, 0.0000, 0.0000, 0.3424,55957.3789
   -0.6876,   1.0000, -1.665, 1.100765, 0.000000, 0.032028,-0.380658,-0.105466, 0.0000, 0.0000, 0.3423,60887.4305
   -0.5635,   1.0000, -1.651, 1.102729, 0.000000, 0.031815,-0.381217,-0.105534, 0.0000, 0.0000, 0.3422,66066.3361
   -0.4389,   1.0000, -1.640, 1.104288, 0.000000, 0.031645,-0.381659,-0.105588, 0.0000, 0.0000, 0.3421,71492.7019
   -0.3138,   1.0000, -1.632, 1.105449, 0.000000, 0.031518,-0.381989,-0.105627, 0.0000, 0.0000, 0.3420,77164.1664
   -0.1884,   1.0000, -1.626, 1.106219, 0.000000, 0.031434,-0.382208,-0.105653, 0.0000, 0.0000, 0.3420,83077.3900
   -0.0628,   1.0000, -1.624, 1.106604, 0.000000, 0.031391,-0.382317,-0.105666, 0.0000, 0.0000, 0.3420,89228.0477
    0.0628,   1.0000, -1.624, 1.106604, 0.000000, 0.031391,-0.382317,-0.105666, 0.0000, 0.0000, 0.3420,89228.0477
    0.1884,   1.0000, -1.626, 1.106219, 0.000000, 0.031434,-0.382208,-0.105653, 0.0000, 0.0000, 0.3420,83077.3900
    0.3138,   1.0000, -1.632, 1.105449, 0.000000, 0.031518,-0.381989,-0.105627, 0.0000, 0.0000, 0.3420,77164.1664
    0.4389,   1.0000, -1.640, 1.104288, 0.000000, 0.031645,-0.381659,-0.105588, 0.0000, 0.0000, 0.3421,71492.7019
    0.5635,   1.0000, -1.651, 1.102729, 0.000000, 0.031815,-0.381217,-0.105534, 0.0000, 0.0000, 0.3422,66066.3361
    0.6876,   1.0000, -1.665, 1.100765, 0.000000, 0.032028,-0.380658,-0.105466, 0.0000, 0.0000, 0.3423,60887.4305
    0.8110,   1.0000, -1.682, 1.098385, 0.000000, 0.032283,-0.379980,-0.105384, 0.0000, 0.0000, 0.3424,55957.3789
    0.9337,   1.0000, -1.702, 1.095575, 0.000000, 0.032582,-0.379178,-0.105285, 0.0000, 0.0000, 0.3426,51276.6238
    1.0554,   1.0000, -1.725, 1.092320, 0.000000, 0.032924,-0.378249,-0.105169, 0.0000, 0.0000, 0.3427,46844.6753
    1.1760,   1.0000, -1.751, 1.088602, 0.000000, 0.033309,-0.377185,-0.105034, 0.0000, 0.0000, 0.3429,42660.1353
    1.2955,   1.0000, -1.780, 1.084400, 0.000000, 0.033738,-0.375980,-0.104880, 0.0000, 0.0000, 0.3432,38720.7255
    1.4137,   1.0000, -1.813, 1.079692, 0.000000, 0.034210,-0.374627,-0.104704, 0.0000, 0.0000, 0.3434,35023.3185
    1.5305,   1.0000, -1.849, 1.074452, 0.000000, 0.034725,-0.373117,-0.104504, 0.0000, 0.0000, 0.3437,31563.9740
    1.6459,   1.0000, -1.888, 1.068651, 0.000000, 0.035283,-0.371442,-0.104279, 0.0000, 0.0000, 0.3440,28337.9775
    1.7595,   1.0000, -1.932, 1.062258, 0.000000, 0.035882,-0.369590,-0.104025, 0.0000, 0.0000, 0.3444,25339.8834
    1.8715,   1.0000, -1.979, 1.055238, 0.000000, 0.036523,-0.367549,-0.103740, 0.0000, 0.0000, 0.3448,22563.5606
    1.9816,   1.0000, -2.030, 1.047555, 0.000000, 0.037203,-0.365309,-0.103420, 0.0000, 0.0000, 0.3452,20002.2418
    2.0897,   1.0000, -2.086, 1.039167, 0.000000, 0.037920,-0.362853,-0.103061, 0.0000, 0.0000, 0.3456,17648.5759
    2.1958,   1.0000, -2.145, 1.030031, 0.000000, 0.038672,-0.360168,-0.102661, 0.0000, 0.0000, 0.3461,15494.6823
