xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,  14.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.431618
Cy    = ,  -0.000000
Cd=,   0.082538,ICd=,    0.082538,PCd=,    0.000000
Cl   = ,2.24362e-17
Cm   =,   -0.447659
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.316232, YCP=,    0.000000, ZCP=,    0.024205 
XNP=,    0.000000
Bending =, 128965.769943

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -1.2955,   1.0000, -2.648, 1.574413, 0.000000, 0.072879,-0.497992,-0.104389, 0.0000, 0.0000, 0.3104,55849.3552
   -1.1760,   1.0000, -2.604, 1.580617, 0.000000, 0.071958,-0.499785,-0.104630, 0.0000, 0.0000, 0.3103,61547.8922
   -1.0554,   1.0000, -2.565, 1.586106, 0.000000, 0.071130,-0.501368,-0.104841, 0.0000, 0.0000, 0.3102,67602.1431
   -0.9337,   1.0000, -2.531, 1.590912, 0.000000, 0.070395,-0.502751,-0.105023, 0.0000, 0.0000, 0.3101,74015.4553
   -0.8110,   1.0000, -2.502, 1.595059, 0.000000, 0.069753,-0.503943,-0.105178, 0.0000, 0.0000, 0.3100,80789.8958
   -0.6876,   1.0000, -2.477, 1.598572, 0.000000, 0.069203,-0.504951,-0.105308, 0.0000, 0.0000, 0.3099,87926.2117
   -0.5635,   1.0000, -2.456, 1.601470, 0.000000, 0.068745,-0.505782,-0.105415, 0.0000, 0.0000, 0.3099,95423.7947
   -0.4389,   1.0000, -2.440, 1.603770, 0.000000, 0.068379,-0.506441,-0.105498, 0.0000, 0.0000, 0.3098,103280.6527
   -0.3138,   1.0000, -2.427, 1.605483, 0.000000, 0.068105,-0.506931,-0.105561, 0.0000, 0.0000, 0.3098,111493.3875
   -0.1884,   1.0000, -2.419, 1.606620, 0.000000, 0.067923,-0.507257,-0.105602, 0.0000, 0.0000, 0.3098,120057.1779
   -0.0628,   1.0000, -2.415, 1.607187, 0.000000, 0.067831,-0.507419,-0.105622, 0.0000, 0.0000, 0.3098,128965.7699
    0.0628,   1.0000, -2.415, 1.607187, 0.000000, 0.067831,-0.507419,-0.105622, 0.0000, 0.0000, 0.3098,128965.7699
    0.1884,   1.0000, -2.419, 1.606620, 0.000000, 0.067923,-0.507257,-0.105602, 0.0000, 0.0000, 0.3098,120057.1779
    0.3138,   1.0000, -2.427, 1.605483, 0.000000, 0.068105,-0.506931,-0.105561, 0.0000, 0.0000, 0.3098,111493.3875
    0.4389,   1.0000, -2.440, 1.603770, 0.000000, 0.068379,-0.506441,-0.105498, 0.0000, 0.0000, 0.3098,103280.6527
    0.5635,   1.0000, -2.456, 1.601470, 0.000000, 0.068745,-0.505782,-0.105415, 0.0000, 0.0000, 0.3099,95423.7947
    0.6876,   1.0000, -2.477, 1.598572, 0.000000, 0.069203,-0.504951,-0.105308, 0.0000, 0.0000, 0.3099,87926.2117
    0.8110,   1.0000, -2.502, 1.595059, 0.000000, 0.069753,-0.503943,-0.105178, 0.0000, 0.0000, 0.3100,80789.8958
    0.9337,   1.0000, -2.531, 1.590912, 0.000000, 0.070395,-0.502751,-0.105023, 0.0000, 0.0000, 0.3101,74015.4553
    1.0554,   1.0000, -2.565, 1.586106, 0.000000, 0.071130,-0.501368,-0.104841, 0.0000, 0.0000, 0.3102,67602.1431
