XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
63,8.36E-01,-4.00E+00,1.88E-02,0.095,0,0.995,1.40E-04,0.3091,,
64,8.13E-01,-4.00E+00,2.11E-02,0.09,0,0.996,1.48E-04,0.2921,,
65,7.87E-01,-4.00E+00,2.33E-02,0.084,0,0.996,1.54E-04,0.273,,
66,7.61E-01,-4.00E+00,2.55E-02,0.079,0,0.997,1.61E-04,0.2484,,
67,7.34E-01,-4.00E+00,2.76E-02,0.072,0,0.997,1.66E-04,0.2253,,
68,7.06E-01,-4.00E+00,2.96E-02,0.066,0,0.998,1.71E-04,0.2027,,
69,6.77E-01,-4.00E+00,3.15E-02,0.06,0,0.998,1.75E-04,0.176,,
70,6.47E-01,-4.00E+00,3.32E-02,0.053,0,0.999,1.79E-04,0.1507,,
71,6.17E-01,-4.00E+00,3.48E-02,0.046,0,0.999,1.82E-04,0.1303,,
72,5.86E-01,-4.00E+00,3.61E-02,0.04,0,0.999,1.84E-04,0.1104,,
73,5.55E-01,-4.00E+00,3.73E-02,0.033,0,0.999,1.85E-04,0.093,,
74,5.24E-01,-4.00E+00,3.83E-02,0.026,0,1,1.86E-04,0.083,,
75,4.92E-01,-4.00E+00,3.90E-02,0.019,0,1,1.86E-04,0.0782,-3.995,0.0782
76,4.61E-01,-4.00E+00,3.96E-02,0.012,0,1,1.85E-04,0.0793,,
77,4.30E-01,-4.00E+00,3.99E-02,0.005,0,1,1.84E-04,0.0904,,
78,3.99E-01,-4.00E+00,4.00E-02,-0.005,0,1,1.82E-04,0.1087,,
79,3.68E-01,-4.00E+00,3.97E-02,-0.02,0,1,1.79E-04,0.1171,,
80,3.38E-01,-4.00E+00,3.90E-02,-0.035,0,0.999,1.75E-04,0.1195,,
81,3.09E-01,-4.00E+00,3.79E-02,-0.049,0,0.999,1.71E-04,0.1181,,
82,2.80E-01,-4.00E+00,3.64E-02,-0.063,0,0.998,1.66E-04,0.1118,,
83,2.52E-01,-4.00E+00,3.45E-02,-0.077,0,0.997,1.61E-04,0.1009,,
84,2.26E-01,-4.00E+00,3.24E-02,-0.09,0,0.996,1.54E-04,0.0878,,
85,2.00E-01,-4.00E+00,3.00E-02,-0.103,0,0.995,1.48E-04,0.0703,,
86,1.75E-01,-4.00E+00,2.74E-02,-0.115,0,0.993,1.40E-04,0.0496,,
87,1.52E-01,-4.00E+00,2.46E-02,-0.125,0,0.992,1.33E-04,0.0274,,
88,1.30E-01,-4.00E+00,2.18E-02,-0.136,0,0.991,1.24E-04,0.0008,,
89,1.10E-01,-4.00E+00,1.89E-02,-0.146,0,0.989,1.15E-04,-0.0273,,
90,9.11E-02,-4.00E+00,1.61E-02,-0.155,0,0.988,1.06E-04,-0.0573,,
91,7.38E-02,-4.00E+00,1.34E-02,-0.163,0,0.987,9.59E-05,-0.0914,,
92,5.83E-02,-4.00E+00,1.08E-02,-0.17,0,0.985,8.57E-05,-0.1273,,
93,4.45E-02,-4.00E+00,8.39E-03,-0.176,0,0.984,7.50E-05,-0.1678,,
94,3.25E-02,-4.00E+00,6.22E-03,-0.182,0,0.983,6.41E-05,-0.2162,,
95,2.23E-02,-4.00E+00,4.33E-03,-0.187,0,0.982,5.28E-05,-0.2792,,
96,1.40E-02,-4.00E+00,2.75E-03,-0.19,0,0.982,4.13E-05,-0.3798,,
97,7.63E-03,-4.00E+00,1.51E-03,-0.193,0,0.981,2.96E-05,-0.5862,,
98,3.20E-03,-4.00E+00,6.38E-04,-0.195,0,0.981,1.78E-05,-1.1028,,
99,7.40E-04,-4.00E+00,1.48E-04,-0.196,0,0.981,5.96E-06,-2.8507,,
Strip 3,,,,,,,,,,
100,1.00E+00,-3.99E+00,3.28E-05,0.132,0,0.991,9.81E-06,0.0684,,
101,9.98E-01,-3.99E+00,2.29E-04,0.132,0,0.991,2.94E-05,0.1192,,
102,9.95E-01,-3.99E+00,6.85E-04,0.131,0,0.991,4.89E-05,0.1737,,
103,9.89E-01,-3.99E+00,1.40E-03,0.129,0,0.992,6.81E-05,0.2238,,
104,9.82E-01,-3.99E+00,2.35E-03,0.128,0,0.992,8.71E-05,0.2657,,
105,9.73E-01,-3.99E+00,3.53E-03,0.126,0,0.992,1.06E-04,0.2984,,
106,9.62E-01,-3.99E+00,4.93E-03,0.123,0,0.992,1.24E-04,0.3192,,
107,9.49E-01,-3.99E+00,6.52E-03,0.12,0,0.993,1.42E-04,0.3304,,
108,9.34E-01,-3.99E+00,8.29E-03,0.117,0,0.993,1.59E-04,0.3342,,
109,9.18E-01,-3.99E+00,1.02E-02,0.113,0,0.994,1.75E-04,0.335,,
110,9.00E-01,-3.99E+00,1.23E-02,0.109,0,0.994,1.91E-04,0.3337,,
