XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
794,3.25E-02,-3.54E+00,6.22E-03,-0.182,0,0.983,6.36E-04,-0.2432,,
795,2.23E-02,-3.54E+00,4.33E-03,-0.187,0,0.982,5.25E-04,-0.3955,,
796,1.40E-02,-3.54E+00,2.75E-03,-0.19,0,0.982,4.10E-04,-0.6087,,
797,7.63E-03,-3.54E+00,1.51E-03,-0.193,0,0.981,2.95E-04,-0.9536,,
798,3.20E-03,-3.54E+00,6.38E-04,-0.195,0,0.981,1.77E-04,-1.6783,,
799,7.40E-04,-3.54E+00,1.48E-04,-0.196,0,0.981,5.92E-05,-4.1391,,
Strip 17,,,,,,,,,,
800,1.00E+00,-3.47E+00,3.28E-05,0.132,0,0.991,6.20E-05,0.0324,,
801,9.98E-01,-3.47E+00,2.29E-04,0.132,0,0.991,1.86E-04,0.0563,,
802,9.95E-01,-3.47E+00,6.85E-04,0.131,0,0.991,3.09E-04,0.0827,,
803,9.89E-01,-3.47E+00,1.40E-03,0.129,0,0.992,4.30E-04,0.1088,,
804,9.82E-01,-3.47E+00,2.35E-03,0.128,0,0.992,5.50E-04,0.1345,,
805,9.73E-01,-3.47E+00,3.53E-03,0.126,0,0.992,6.68E-04,0.1605,,
806,9.62E-01,-3.47E+00,4.93E-03,0.123,0,0.992,7.83E-04,0.1847,,
807,9.49E-01,-3.47E+00,6.52E-03,0.12,0,0.993,8.94E-04,0.2087,,
808,9.34E-01,-3.47E+00,8.29E-03,0.117,0,0.993,1.00E-03,0.232,,
809,9.18E-01,-3.47E+00,1.02E-02,0.113,0,0.994,1.11E-03,0.2544,,
810,9.00E-01,-3.47E+00,1.23E-02,0.109,0,0.994,1.21E-03,0.2752,,
811,8.80E-01,-3.47E+00,1.44E-02,0.105,0,0.994,1.30E-03,0.2962,,
812,8.59E-01,-3.47E+00,1.66E-02,0.1,0,0.995,1.39E-03,0.3153,,
813,8.36E-01,-3.47E+00,1.88E-02,0.095,0,0.995,1.47E-03,0.3329,,
814,8.13E-01,-3.47E+00,2.11E-02,0.09,0,0.996,1.55E-03,0.3498,,
815,7.87E-01,-3.47E+00,2.33E-02,0.084,0,0.996,1.62E-03,0.3657,,
816,7.61E-01,-3.47E+00,2.55E-02,0.079,0,0.997,1.69E-03,0.3803,,
817,7.34E-01,-3.47E+00,2.76E-02,0.072,0,0.997,1.75E-03,0.3938,,
818,7.06E-01,-3.47E+00,2.96E-02,0.066,0,0.998,1.80E-03,0.4062,,
819,6.77E-01,-3.47E+00,3.15E-02,0.06,0,0.998,1.84E-03,0.4175,,
820,6.47E-01,-3.47E+00,3.32E-02,0.053,0,0.999,1.88E-03,0.4279,,
821,6.17E-01,-3.47E+00,3.48E-02,0.046,0,0.999,1.91E-03,0.4375,,
822,5.86E-01,-3.47E+00,3.61E-02,0.04,0,0.999,1.93E-03,0.4465,,
823,5.55E-01,-3.47E+00,3.73E-02,0.033,0,0.999,1.95E-03,0.4553,,
824,5.24E-01,-3.47E+00,3.83E-02,0.026,0,1,1.96E-03,0.4647,,
825,4.92E-01,-3.47E+00,3.90E-02,0.019,0,1,1.96E-03,0.4739,-3.474,0.4739
826,4.61E-01,-3.47E+00,3.96E-02,0.012,0,1,1.95E-03,0.4857,,
827,4.30E-01,-3.47E+00,3.99E-02,0.005,0,1,1.93E-03,0.5066,,
828,3.99E-01,-3.47E+00,4.00E-02,-0.005,0,1,1.91E-03,0.5322,,
829,3.68E-01,-3.47E+00,3.97E-02,-0.02,0,1,1.88E-03,0.5369,,
830,3.38E-01,-3.47E+00,3.90E-02,-0.035,0,0.999,1.84E-03,0.5314,,
831,3.09E-01,-3.47E+00,3.79E-02,-0.049,0,0.999,1.80E-03,0.5199,,
832,2.80E-01,-3.47E+00,3.64E-02,-0.063,0,0.998,1.75E-03,0.5008,,
833,2.52E-01,-3.47E+00,3.45E-02,-0.077,0,0.997,1.69E-03,0.4749,,
834,2.26E-01,-3.47E+00,3.24E-02,-0.09,0,0.996,1.62E-03,0.4454,,
835,2.00E-01,-3.47E+00,3.00E-02,-0.103,0,0.995,1.55E-03,0.409,,
836,1.75E-01,-3.47E+00,2.74E-02,-0.115,0,0.993,1.48E-03,0.3672,,
837,1.52E-01,-3.47E+00,2.46E-02,-0.125,0,0.992,1.39E-03,0.322,,
838,1.30E-01,-3.47E+00,2.18E-02,-0.136,0,0.991,1.31E-03,0.269,,
839,1.10E-01,-3.47E+00,1.89E-02,-0.146,0,0.989,1.21E-03,0.211,,
840,9.11E-02,-3.47E+00,1.61E-02,-0.155,0,0.988,1.11E-03,0.1473,,
841,7.38E-02,-3.47E+00,1.34E-02,-0.163,0,0.987,1.01E-03,0.0737,,
842,5.83E-02,-3.47E+00,1.08E-02,-0.17,0,0.985,9.01E-04,-0.0086,,
843,4.45E-02,-3.47E+00,8.39E-03,-0.176,0,0.984,7.89E-04,-0.1046,,
844,3.25E-02,-3.47E+00,6.22E-03,-0.182,0,0.983,6.74E-04,-0.2213,,
845,2.23E-02,-3.47E+00,4.33E-03,-0.187,0,0.982,5.55E-04,-0.3693,,
846,1.40E-02,-3.47E+00,2.75E-03,-0.19,0,0.982,4.35E-04,-0.5757,,
847,7.63E-03,-3.47E+00,1.51E-03,-0.193,0,0.981,3.12E-04,-0.9083,,
848,3.20E-03,-3.47E+00,6.38E-04,-0.195,0,0.981,1.88E-04,-1.6043,,
849,7.40E-04,-3.47E+00,1.48E-04,-0.196,0,0.981,6.26E-05,-3.9623,,
Strip 18,,,,,,,,,,
850,1.00E+00,-3.41E+00,3.28E-05,0.132,0,0.991,6.54E-05,0.0327,,
851,9.98E-01,-3.41E+00,2.29E-04,0.132,0,0.991,1.96E-04,0.057,,
852,9.95E-01,-3.41E+00,6.85E-04,0.131,0,0.991,3.25E-04,0.0836,,
853,9.89E-01,-3.41E+00,1.40E-03,0.129,0,0.992,4.54E-04,0.11,,
854,9.82E-01,-3.41E+00,2.35E-03,0.128,0,0.992,5.80E-04,0.1361,,
855,9.73E-01,-3.41E+00,3.53E-03,0.126,0,0.992,7.04E-04,0.1625,,
856,9.62E-01,-3.41E+00,4.93E-03,0.123,0,0.992,8.25E-04,0.1869,,
857,9.49E-01,-3.41E+00,6.52E-03,0.12,0,0.993,9.43E-04,0.2113,,
858,9.34E-01,-3.41E+00,8.29E-03,0.117,0,0.993,1.06E-03,0.235,,
859,9.18E-01,-3.41E+00,1.02E-02,0.113,0,0.994,1.17E-03,0.2579,,
860,9.00E-01,-3.41E+00,1.23E-02,0.109,0,0.994,1.27E-03,0.2791,,
861,8.80E-01,-3.41E+00,1.44E-02,0.105,0,0.994,1.37E-03,0.3005,,
862,8.59E-01,-3.41E+00,1.66E-02,0.1,0,0.995,1.47E-03,0.3202,,
863,8.36E-01,-3.41E+00,1.88E-02,0.095,0,0.995,1.55E-03,0.3383,,
864,8.13E-01,-3.41E+00,2.11E-02,0.09,0,0.996,1.64E-03,0.3558,,
865,7.87E-01,-3.41E+00,2.33E-02,0.084,0,0.996,1.71E-03,0.3722,,
866,7.61E-01,-3.41E+00,2.55E-02,0.079,0,0.997,1.78E-03,0.3874,,
867,7.34E-01,-3.41E+00,2.76E-02,0.072,0,0.997,1.84E-03,0.4015,,
868,7.06E-01,-3.41E+00,2.96E-02,0.066,0,0.998,1.90E-03,0.4145,,
869,6.77E-01,-3.41E+00,3.15E-02,0.06,0,0.998,1.94E-03,0.4264,,
870,6.47E-01,-3.41E+00,3.32E-02,0.053,0,0.999,1.98E-03,0.4373,,
871,6.17E-01,-3.41E+00,3.48E-02,0.046,0,0.999,2.02E-03,0.4474,,
872,5.86E-01,-3.41E+00,3.61E-02,0.04,0,0.999,2.04E-03,0.4569,,
873,5.55E-01,-3.41E+00,3.73E-02,0.033,0,0.999,2.05E-03,0.4661,,
874,5.24E-01,-3.41E+00,3.83E-02,0.026,0,1,2.06E-03,0.4757,,
875,4.92E-01,-3.41E+00,3.90E-02,0.019,0,1,2.06E-03,0.4853,-3.41,0.4853
876,4.61E-01,-3.41E+00,3.96E-02,0.012,0,1,2.05E-03,0.4973,,
877,4.30E-01,-3.41E+00,3.99E-02,0.005,0,1,2.04E-03,0.5184,,
878,3.99E-01,-3.41E+00,4.00E-02,-0.005,0,1,2.01E-03,0.5441,,
879,3.68E-01,-3.41E+00,3.97E-02,-0.02,0,1,1.98E-03,0.5489,,
880,3.38E-01,-3.41E+00,3.90E-02,-0.035,0,0.999,1.94E-03,0.5435,,
881,3.09E-01,-3.41E+00,3.79E-02,-0.049,0,0.999,1.90E-03,0.532,,
882,2.80E-01,-3.41E+00,3.64E-02,-0.063,0,0.998,1.84E-03,0.5129,,
883,2.52E-01,-3.41E+00,3.45E-02,-0.077,0,0.997,1.78E-03,0.4871,,
884,2.26E-01,-3.41E+00,3.24E-02,-0.09,0,0.996,1.71E-03,0.4577,,
885,2.00E-01,-3.41E+00,3.00E-02,-0.103,0,0.995,1.64E-03,0.4215,,
886,1.75E-01,-3.41E+00,2.74E-02,-0.115,0,0.993,1.56E-03,0.3799,,
887,1.52E-01,-3.41E+00,2.46E-02,-0.125,0,0.992,1.47E-03,0.335,,
888,1.30E-01,-3.41E+00,2.18E-02,-0.136,0,0.991,1.38E-03,0.2823,,
889,1.10E-01,-3.41E+00,1.89E-02,-0.146,0,0.989,1.28E-03,0.2249,,
890,9.11E-02,-3.41E+00,1.61E-02,-0.155,0,0.988,1.17E-03,0.162,,
891,7.38E-02,-3.41E+00,1.34E-02,-0.163,0,0.987,1.06E-03,0.0895,,
892,5.83E-02,-3.41E+00,1.08E-02,-0.17,0,0.985,9.50E-04,0.0086,,
893,4.45E-02,-3.41E+00,8.39E-03,-0.176,0,0.984,8.32E-04,-0.0854,,
894,3.25E-02,-3.41E+00,6.22E-03,-0.182,0,0.983,7.11E-04,-0.1991,,
895,2.23E-02,-3.41E+00,4.33E-03,-0.187,0,0.982,5.86E-04,-0.3428,,
896,1.40E-02,-3.41E+00,2.75E-03,-0.19,0,0.982,4.58E-04,-0.5424,,
897,7.63E-03,-3.41E+00,1.51E-03,-0.193,0,0.981,3.29E-04,-0.8622,,
898,3.20E-03,-3.41E+00,6.38E-04,-0.195,0,0.981,1.98E-04,-1.5292,,
899,7.40E-04,-3.41E+00,1.48E-04,-0.196,0,0.981,6.61E-05,-3.7826,,
Strip 19,,,,,,,,,,
900,1.00E+00,-3.34E+00,3.28E-05,0.132,0,0.991,6.87E-05,0.0331,,
901,9.98E-01,-3.34E+00,2.29E-04,0.132,0,0.991,2.06E-04,0.0576,,
902,9.95E-01,-3.34E+00,6.85E-04,0.131,0,0.991,3.42E-04,0.0845,,
903,9.89E-01,-3.34E+00,1.40E-03,0.129,0,0.992,4.77E-04,0.1112,,
904,9.82E-01,-3.34E+00,2.35E-03,0.128,0,0.992,6.10E-04,0.1376,,
905,9.73E-01,-3.34E+00,3.53E-03,0.126,0,0.992,7.40E-04,0.1643,,
906,9.62E-01,-3.34E+00,4.93E-03,0.123,0,0.992,8.67E-04,0.1891,,
907,9.49E-01,-3.34E+00,6.52E-03,0.12,0,0.993,9.91E-04,0.2139,,
908,9.34E-01,-3.34E+00,8.29E-03,0.117,0,0.993,1.11E-03,0.2379,,
909,9.18E-01,-3.34E+00,1.02E-02,0.113,0,0.994,1.23E-03,0.2612,,
910,9.00E-01,-3.34E+00,1.23E-02,0.109,0,0.994,1.34E-03,0.2828,,
911,8.80E-01,-3.34E+00,1.44E-02,0.105,0,0.994,1.44E-03,0.3047,,
912,8.59E-01,-3.34E+00,1.66E-02,0.1,0,0.995,1.54E-03,0.3248,,
913,8.36E-01,-3.34E+00,1.88E-02,0.095,0,0.995,1.63E-03,0.3434,,
914,8.13E-01,-3.34E+00,2.11E-02,0.09,0,0.996,1.72E-03,0.3613,,
915,7.87E-01,-3.34E+00,2.33E-02,0.084,0,0.996,1.80E-03,0.3782,,
916,7.61E-01,-3.34E+00,2.55E-02,0.079,0,0.997,1.87E-03,0.394,,
917,7.34E-01,-3.34E+00,2.76E-02,0.072,0,0.997,1.94E-03,0.4086,,
918,7.06E-01,-3.34E+00,2.96E-02,0.066,0,0.998,1.99E-03,0.422,,
919,6.77E-01,-3.34E+00,3.15E-02,0.06,0,0.998,2.04E-03,0.4344,,
920,6.47E-01,-3.34E+00,3.32E-02,0.053,0,0.999,2.08E-03,0.4458,,
921,6.17E-01,-3.34E+00,3.48E-02,0.046,0,0.999,2.12E-03,0.4563,,
922,5.86E-01,-3.34E+00,3.61E-02,0.04,0,0.999,2.14E-03,0.4661,,
923,5.55E-01,-3.34E+00,3.73E-02,0.033,0,0.999,2.16E-03,0.4757,,
924,5.24E-01,-3.34E+00,3.83E-02,0.026,0,1,2.17E-03,0.4857,,
925,4.92E-01,-3.34E+00,3.90E-02,0.019,0,1,2.17E-03,0.4955,-3.343,0.4955
926,4.61E-01,-3.34E+00,3.96E-02,0.012,0,1,2.16E-03,0.5077,,
927,4.30E-01,-3.34E+00,3.99E-02,0.005,0,1,2.14E-03,0.529,,
928,3.99E-01,-3.34E+00,4.00E-02,-0.005,0,1,2.12E-03,0.5549,,
929,3.68E-01,-3.34E+00,3.97E-02,-0.02,0,1,2.08E-03,0.5598,,
930,3.38E-01,-3.34E+00,3.90E-02,-0.035,0,0.999,2.04E-03,0.5545,,
931,3.09E-01,-3.34E+00,3.79E-02,-0.049,0,0.999,1.99E-03,0.5432,,
932,2.80E-01,-3.34E+00,3.64E-02,-0.063,0,0.998,1.94E-03,0.5242,,
933,2.52E-01,-3.34E+00,3.45E-02,-0.077,0,0.997,1.87E-03,0.4984,,
934,2.26E-01,-3.34E+00,3.24E-02,-0.09,0,0.996,1.80E-03,0.4692,,
935,2.00E-01,-3.34E+00,3.00E-02,-0.103,0,0.995,1.72E-03,0.4332,,
936,1.75E-01,-3.34E+00,2.74E-02,-0.115,0,0.993,1.64E-03,0.3919,,
937,1.52E-01,-3.34E+00,2.46E-02,-0.125,0,0.992,1.55E-03,0.3474,,
938,1.30E-01,-3.34E+00,2.18E-02,-0.136,0,0.991,1.45E-03,0.2952,,
939,1.10E-01,-3.34E+00,1.89E-02,-0.146,0,0.989,1.34E-03,0.2385,,
940,9.11E-02,-3.34E+00,1.61E-02,-0.155,0,0.988,1.23E-03,0.1764,,
941,7.38E-02,-3.34E+00,1.34E-02,-0.163,0,0.987,1.12E-03,0.105,,
942,5.83E-02,-3.34E+00,1.08E-02,-0.17,0,0.985,9.98E-04,0.0256,,
943,4.45E-02,-3.34E+00,8.39E-03,-0.176,0,0.984,8.74E-04,-0.0663,,
944,3.25E-02,-3.34E+00,6.22E-03,-0.182,0,0.983,7.47E-04,-0.1771,,
945,2.23E-02,-3.34E+00,4.33E-03,-0.187,0,0.982,6.15E-04,-0.3165,,
946,1.40E-02,-3.34E+00,2.75E-03,-0.19,0,0.982,4.82E-04,-0.509,,
947,7.63E-03,-3.34E+00,1.51E-03,-0.193,0,0.981,3.46E-04,-0.8162,,
948,3.20E-03,-3.34E+00,6.38E-04,-0.195,0,0.981,2.08E-04,-1.454,,
949,7.40E-04,-3.34E+00,1.48E-04,-0.196,0,0.981,6.94E-05,-3.6027,,
Strip 20,,,,,,,,,,
950,1.00E+00,-3.27E+00,3.28E-05,0.132,0,0.991,7.19E-05,0.0334,,
951,9.98E-01,-3.27E+00,2.29E-04,0.132,0,0.991,2.16E-04,0.0582,,
952,9.95E-01,-3.27E+00,6.85E-04,0.131,0,0.991,3.58E-04,0.0854,,
953,9.89E-01,-3.27E+00,1.40E-03,0.129,0,0.992,4.99E-04,0.1124,,
954,9.82E-01,-3.27E+00,2.35E-03,0.128,0,0.992,6.38E-04,0.139,,
955,9.73E-01,-3.27E+00,3.53E-03,0.126,0,0.992,7.75E-04,0.1661,,
956,9.62E-01,-3.27E+00,4.93E-03,0.123,0,0.992,9.08E-04,0.1912,,
957,9.49E-01,-3.27E+00,6.52E-03,0.12,0,0.993,1.04E-03,0.2163,,
958,9.34E-01,-3.27E+00,8.29E-03,0.117,0,0.993,1.16E-03,0.2407,,
959,9.18E-01,-3.27E+00,1.02E-02,0.113,0,0.994,1.28E-03,0.2643,,
960,9.00E-01,-3.27E+00,1.23E-02,0.109,0,0.994,1.40E-03,0.2863,,
961,8.80E-01,-3.27E+00,1.44E-02,0.105,0,0.994,1.51E-03,0.3086,,
962,8.59E-01,-3.27E+00,1.66E-02,0.1,0,0.995,1.61E-03,0.329,,
963,8.36E-01,-3.27E+00,1.88E-02,0.095,0,0.995,1.71E-03,0.3481,,
964,8.13E-01,-3.27E+00,2.11E-02,0.09,0,0.996,1.80E-03,0.3665,,
965,7.87E-01,-3.27E+00,2.33E-02,0.084,0,0.996,1.88E-03,0.3838,,
966,7.61E-01,-3.27E+00,2.55E-02,0.079,0,0.997,1.96E-03,0.4,,
967,7.34E-01,-3.27E+00,2.76E-02,0.072,0,0.997,2.03E-03,0.415,,
968,7.06E-01,-3.27E+00,2.96E-02,0.066,0,0.998,2.09E-03,0.4289,,
969,6.77E-01,-3.27E+00,3.15E-02,0.06,0,0.998,2.14E-03,0.4417,,
970,6.47E-01,-3.27E+00,3.32E-02,0.053,0,0.999,2.18E-03,0.4534,,
971,6.17E-01,-3.27E+00,3.48E-02,0.046,0,0.999,2.22E-03,0.4643,,
972,5.86E-01,-3.27E+00,3.61E-02,0.04,0,0.999,2.24E-03,0.4745,,
973,5.55E-01,-3.27E+00,3.73E-02,0.033,0,0.999,2.26E-03,0.4844,,
974,5.24E-01,-3.27E+00,3.83E-02,0.026,0,1,2.27E-03,0.4947,,
975,4.92E-01,-3.27E+00,3.90E-02,0.019,0,1,2.27E-03,0.5047,-3.272,0.5047
976,4.61E-01,-3.27E+00,3.96E-02,0.012,0,1,2.26E-03,0.5171,,
977,4.30E-01,-3.27E+00,3.99E-02,0.005,0,1,2.24E-03,0.5386,,
978,3.99E-01,-3.27E+00,4.00E-02,-0.005,0,1,2.22E-03,0.5647,,
979,3.68E-01,-3.27E+00,3.97E-02,-0.02,0,1,2.18E-03,0.5698,,
980,3.38E-01,-3.27E+00,3.90E-02,-0.035,0,0.999,2.14E-03,0.5646,,
981,3.09E-01,-3.27E+00,3.79E-02,-0.049,0,0.999,2.09E-03,0.5534,,
982,2.80E-01,-3.27E+00,3.64E-02,-0.063,0,0.998,2.03E-03,0.5346,,
983,2.52E-01,-3.27E+00,3.45E-02,-0.077,0,0.997,1.96E-03,0.5091,,
984,2.26E-01,-3.27E+00,3.24E-02,-0.09,0,0.996,1.89E-03,0.4801,,
985,2.00E-01,-3.27E+00,3.00E-02,-0.103,0,0.995,1.80E-03,0.4443,,
986,1.75E-01,-3.27E+00,2.74E-02,-0.115,0,0.993,1.71E-03,0.4034,,
987,1.52E-01,-3.27E+00,2.46E-02,-0.125,0,0.992,1.62E-03,0.3592,,
988,1.30E-01,-3.27E+00,2.18E-02,-0.136,0,0.991,1.52E-03,0.3076,,
989,1.10E-01,-3.27E+00,1.89E-02,-0.146,0,0.989,1.41E-03,0.2516,,
990,9.11E-02,-3.27E+00,1.61E-02,-0.155,0,0.988,1.29E-03,0.1904,,
991,7.38E-02,-3.27E+00,1.34E-02,-0.163,0,0.987,1.17E-03,0.1201,,
992,5.83E-02,-3.27E+00,1.08E-02,-0.17,0,0.985,1.05E-03,0.0423,,
993,4.45E-02,-3.27E+00,8.39E-03,-0.176,0,0.984,9.16E-04,-0.0475,,
994,3.25E-02,-3.27E+00,6.22E-03,-0.182,0,0.983,7.82E-04,-0.1554,,
995,2.23E-02,-3.27E+00,4.33E-03,-0.187,0,0.982,6.45E-04,-0.2905,,
996,1.40E-02,-3.27E+00,2.75E-03,-0.19,0,0.982,5.04E-04,-0.4761,,
997,7.63E-03,-3.27E+00,1.51E-03,-0.193,0,0.981,3.62E-04,-0.7708,,
998,3.20E-03,-3.27E+00,6.38E-04,-0.195,0,0.981,2.18E-04,-1.3797,,
999,7.40E-04,-3.27E+00,1.48E-04,-0.196,0,0.981,7.27E-05,-3.4248,,
Strip 21,,,,,,,,,,
1000,1.00E+00,-3.20E+00,3.28E-05,0.132,0,0.991,7.51E-05,0.0337,,
1001,9.98E-01,-3.20E+00,2.29E-04,0.132,0,0.991,2.25E-04,0.0587,,
1002,9.95E-01,-3.20E+00,6.85E-04,0.131,0,0.991,3.74E-04,0.0862,,
1003,9.89E-01,-3.20E+00,1.40E-03,0.129,0,0.992,5.21E-04,0.1135,,
1004,9.82E-01,-3.20E+00,2.35E-03,0.128,0,0.992,6.67E-04,0.1404,,
1005,9.73E-01,-3.20E+00,3.53E-03,0.126,0,0.992,8.09E-04,0.1677,,
1006,9.62E-01,-3.20E+00,4.93E-03,0.123,0,0.992,9.48E-04,0.1932,,
1007,9.49E-01,-3.20E+00,6.52E-03,0.12,0,0.993,1.08E-03,0.2186,,
1008,9.34E-01,-3.20E+00,8.29E-03,0.117,0,0.993,1.22E-03,0.2433,,
1009,9.18E-01,-3.20E+00,1.02E-02,0.113,0,0.994,1.34E-03,0.2672,,
1010,9.00E-01,-3.20E+00,1.23E-02,0.109,0,0.994,1.46E-03,0.2895,,
1011,8.80E-01,-3.20E+00,1.44E-02,0.105,0,0.994,1.58E-03,0.3122,,
1012,8.59E-01,-3.20E+00,1.66E-02,0.1,0,0.995,1.68E-03,0.333,,
1013,8.36E-01,-3.20E+00,1.88E-02,0.095,0,0.995,1.79E-03,0.3524,,
1014,8.13E-01,-3.20E+00,2.11E-02,0.09,0,0.996,1.88E-03,0.3712,,
1015,7.87E-01,-3.20E+00,2.33E-02,0.084,0,0.996,1.97E-03,0.3889,,
1016,7.61E-01,-3.20E+00,2.55E-02,0.079,0,0.997,2.05E-03,0.4055,,
1017,7.34E-01,-3.20E+00,2.76E-02,0.072,0,0.997,2.12E-03,0.4209,,
1018,7.06E-01,-3.20E+00,2.96E-02,0.066,0,0.998,2.18E-03,0.4351,,
1019,6.77E-01,-3.20E+00,3.15E-02,0.06,0,0.998,2.23E-03,0.4483,,
1020,6.47E-01,-3.20E+00,3.32E-02,0.053,0,0.999,2.28E-03,0.4604,,
1021,6.17E-01,-3.20E+00,3.48E-02,0.046,0,0.999,2.32E-03,0.4716,,
1022,5.86E-01,-3.20E+00,3.61E-02,0.04,0,0.999,2.34E-03,0.4821,,
1023,5.55E-01,-3.20E+00,3.73E-02,0.033,0,0.999,2.36E-03,0.4922,,
1024,5.24E-01,-3.20E+00,3.83E-02,0.026,0,1,2.37E-03,0.5028,,
1025,4.92E-01,-3.20E+00,3.90E-02,0.019,0,1,2.37E-03,0.5131,-3.198,0.5131
1026,4.61E-01,-3.20E+00,3.96E-02,0.012,0,1,2.36E-03,0.5257,,
1027,4.30E-01,-3.20E+00,3.99E-02,0.005,0,1,2.34E-03,0.5474,,
1028,3.99E-01,-3.20E+00,4.00E-02,-0.005,0,1,2.31E-03,0.5736,,
1029,3.68E-01,-3.20E+00,3.97E-02,-0.02,0,1,2.28E-03,0.5789,,
1030,3.38E-01,-3.20E+00,3.90E-02,-0.035,0,0.999,2.23E-03,0.5739,,
1031,3.09E-01,-3.20E+00,3.79E-02,-0.049,0,0.999,2.18E-03,0.563,,
1032,2.80E-01,-3.20E+00,3.64E-02,-0.063,0,0.998,2.12E-03,0.5444,,
1033,2.52E-01,-3.20E+00,3.45E-02,-0.077,0,0.997,2.05E-03,0.519,,
1034,2.26E-01,-3.20E+00,3.24E-02,-0.09,0,0.996,1.97E-03,0.4902,,
1035,2.00E-01,-3.20E+00,3.00E-02,-0.103,0,0.995,1.88E-03,0.4548,,
1036,1.75E-01,-3.20E+00,2.74E-02,-0.115,0,0.993,1.79E-03,0.4142,,
1037,1.52E-01,-3.20E+00,2.46E-02,-0.125,0,0.992,1.69E-03,0.3705,,
1038,1.30E-01,-3.20E+00,2.18E-02,-0.136,0,0.991,1.58E-03,0.3195,,
1039,1.10E-01,-3.20E+00,1.89E-02,-0.146,0,0.989,1.47E-03,0.2642,,
1040,9.11E-02,-3.20E+00,1.61E-02,-0.155,0,0.988,1.35E-03,0.2038,,
1041,7.38E-02,-3.20E+00,1.34E-02,-0.163,0,0.987,1.22E-03,0.1347,,
1042,5.83E-02,-3.20E+00,1.08E-02,-0.17,0,0.985,1.09E-03,0.0585,,
1043,4.45E-02,-3.20E+00,8.39E-03,-0.176,0,0.984,9.56E-04,-0.0293,,
1044,3.25E-02,-3.20E+00,6.22E-03,-0.182,0,0.983,8.16E-04,-0.1343,,
1045,2.23E-02,-3.20E+00,4.33E-03,-0.187,0,0.982,6.73E-04,-0.2651,,
1046,1.40E-02,-3.20E+00,2.75E-03,-0.19,0,0.982,5.27E-04,-0.4439,,
1047,7.63E-03,-3.20E+00,1.51E-03,-0.193,0,0.981,3.78E-04,-0.7263,,
1048,3.20E-03,-3.20E+00,6.38E-04,-0.195,0,0.981,2.27E-04,-1.3069,,
1049,7.40E-04,-3.20E+00,1.48E-04,-0.196,0,0.981,7.59E-05,-3.2505,,
Strip 22,,,,,,,,,,
1050,1.00E+00,-3.12E+00,3.28E-05,0.132,0,0.991,7.82E-05,0.034,,
1051,9.98E-01,-3.12E+00,2.29E-04,0.132,0,0.991,2.34E-04,0.0593,,
1052,9.95E-01,-3.12E+00,6.85E-04,0.131,0,0.991,3.89E-04,0.087,,
1053,9.89E-01,-3.12E+00,1.40E-03,0.129,0,0.992,5.43E-04,0.1145,,
1054,9.82E-01,-3.12E+00,2.35E-03,0.128,0,0.992,6.94E-04,0.1417,,
1055,9.73E-01,-3.12E+00,3.53E-03,0.126,0,0.992,8.43E-04,0.1693,,
1056,9.62E-01,-3.12E+00,4.93E-03,0.123,0,0.992,9.88E-04,0.195,,
1057,9.49E-01,-3.12E+00,6.52E-03,0.12,0,0.993,1.13E-03,0.2207,,
1058,9.34E-01,-3.12E+00,8.29E-03,0.117,0,0.993,1.27E-03,0.2457,,
1059,9.18E-01,-3.12E+00,1.02E-02,0.113,0,0.994,1.40E-03,0.2699,,
1060,9.00E-01,-3.12E+00,1.23E-02,0.109,0,0.994,1.52E-03,0.2925,,
1061,8.80E-01,-3.12E+00,1.44E-02,0.105,0,0.994,1.64E-03,0.3155,,
1062,8.59E-01,-3.12E+00,1.66E-02,0.1,0,0.995,1.75E-03,0.3367,,
1063,8.36E-01,-3.12E+00,1.88E-02,0.095,0,0.995,1.86E-03,0.3564,,
1064,8.13E-01,-3.12E+00,2.11E-02,0.09,0,0.996,1.96E-03,0.3755,,
1065,7.87E-01,-3.12E+00,2.33E-02,0.084,0,0.996,2.05E-03,0.3936,,
1066,7.61E-01,-3.12E+00,2.55E-02,0.079,0,0.997,2.13E-03,0.4105,,
1067,7.34E-01,-3.12E+00,2.76E-02,0.072,0,0.997,2.21E-03,0.4262,,
1068,7.06E-01,-3.12E+00,2.96E-02,0.066,0,0.998,2.27E-03,0.4408,,
1069,6.77E-01,-3.12E+00,3.15E-02,0.06,0,0.998,2.33E-03,0.4543,,
1070,6.47E-01,-3.12E+00,3.32E-02,0.053,0,0.999,2.37E-03,0.4667,,
1071,6.17E-01,-3.12E+00,3.48E-02,0.046,0,0.999,2.41E-03,0.4782,,
1072,5.86E-01,-3.12E+00,3.61E-02,0.04,0,0.999,2.44E-03,0.489,,
1073,5.55E-01,-3.12E+00,3.73E-02,0.033,0,0.999,2.46E-03,0.4994,,
1074,5.24E-01,-3.12E+00,3.83E-02,0.026,0,1,2.47E-03,0.5101,,
1075,4.92E-01,-3.12E+00,3.90E-02,0.019,0,1,2.47E-03,0.5207,-3.121,0.5207
1076,4.61E-01,-3.12E+00,3.96E-02,0.012,0,1,2.46E-03,0.5335,,
